area,address,street_in_front_of_house,width,height,floor_number,bedroom_number,bathroom_number,direction,law,price,room_density,bath_per_bed,wide_ratio,distance_center
75,Phường Vĩnh Tuy,6,15,5,4,6,3,Không xác định,1,21.3,0.08,0.428571429,3,1.088748133
51,Phường Bạch Mai,4,17,3,5,6,4,Không xác định,1,13.2,0.117647059,0.571428571,5.666666667,3.65294502
35,Phường Kiến Hưng,2,11.6,3,4,4,4,Không xác định,1,6.35,0.114285714,0.8,3.866666667,12.05320898
35,Phường Kiến Hưng,3,8.5,4,4,4,4,Không xác định,1,4.85,0.114285714,0.8,2.125,15.78100557
35,Phường Kiến Hưng,4,8.5,4,5,4,3,Không xác định,1,8,0.114285714,0.6,2.125,9.567234625
34.6,Xã Bình Minh,2,11.6,3,4,4,4,Không xác định,1,4.75,0.115606936,0.8,3.866666667,16.98455559
25,Phường Hoàng Mai,6,6.25,4,5,3,4,Không xác định,1,8.5,0.12,1,1.5625,4.995774858
46,Phường Cầu Diễn,4.5,7,8.4,4,3,4,Không xác định,1,11.3,0.065217391,1,0.833333333,8.823005987
175,Phường Việt Hưng,8,9,19,3,4,2,Tây - Bắc,1,46,0.022857143,0.4,0.473684211,6.687580578
110,Phường Việt Hưng,15,6,18,6,4,4,Tây - Bắc,1,33,0.036363636,0.8,0.333333333,6.889216173
40,Phường Tương Mai,4,8,5,5,4,4,Không xác định,1,9.9,0.1,0.8,1.6,3.134175717
32,Phường Nghĩa Đô,4,8,4,5,5,4,Bắc,1,9.86,0.15625,0.666666667,2,4.162655357
40,Phường Hai Bà Trưng,4,8,5,5,4,4,Đông,1,7.45,0.1,0.8,1.6,1.671709263
34,Phường Từ Liêm,3,8,4.2,5,3,3,Không xác định,1,5.6,0.088235294,0.75,1.904761905,10.91124675
50,Phường Yên Sở,5,12,4,5,6,4,Nam,1,10.2,0.12,0.571428571,3,6.400574536
44,Phường Hoàng Liệt,5,11,4,5,4,4,Đông,1,9,0.090909091,0.8,2.75,6.222517594
70,Phường Vĩnh Hưng,4,14,5,5,5,4,Nam,1,7.5,0.071428571,0.666666667,2.8,14.05188875
40,Phường Hoàng Liệt,4,10,4,6,4,4,Đông,1,8.9,0.1,0.8,2.5,6.107399741
48,Phường Yên Sở,4,2,4,4,4,3,Đông,1,9.5,0.083333333,0.6,0.5,6.199856822
48,Phường Hoàng Liệt,3,12,4,6,4,4,Đông,1,9.2,0.083333333,0.8,3,6.62921791
88,Phường Yên Sở,8,11,8,9,2,2,Đông - Bắc,1,5.15,0.022727273,0.666666667,1.375,13.79522386
56,Phường Vĩnh Hưng,4,14,4,5,4,4,Nam,1,9.6,0.071428571,0.8,3.5,5.452730299
90,Phường Hoàng Liệt,4,18,5,7,23,23,Đông,1,19.8,0.255555556,0.958333333,3.6,8.690292733
48,Phường Hoàng Liệt,5,7,7,4,3,3,Đông,1,6.2,0.0625,0.75,1,9.836903996
30,Phường Hoàng Liệt,4,8,4,5,3,3,Đông,1,4.5,0.1,0.75,2,10.94478624
44,Phường Hoàng Liệt,3,12,4,4,4,3,Bắc,1,7.5,0.090909091,0.6,3,7.467021113
33,Phường Yên Sở,3,9,4,5,3,4,Đông,1,5.85,0.090909091,1,2.25,10.74778573
41,Phường Hoàng Liệt,3,11,4,4,3,3,Đông - Nam,1,5.5,0.073170732,0.75,2.75,11.05006011
33,Phường Hoàng Liệt,3,11,35,5,3,3,Nam,1,6.99,0.090909091,0.75,0.314285714,9.314135395
75,Phường Hoàng Liệt,4,8,9,9,3,2,Tây,1,4.35,0.04,0.5,0.888888889,10.69211089
40,Phường Hoàng Liệt,3,8,5,5,5,4,Nam,1,7,0.125,0.666666667,1.6,7.765122528
